resume_id,jd_id,score,candidate_id
aishwarya_pimple_001_chunk1,jd_jd_1e5c2f,0.563030,aishwarya_pimple_001
aishwarya_pimple_001_chunk1,jd_specialist_software_engineering_001,0.544837,aishwarya_pimple_001
ajay_mothe_001_chunk1,jd_jd_1e5c2f,0.537776,ajay_mothe_001
ajay_mothe_001_chunk1,jd_specialist_software_engineering_001,0.565297,ajay_mothe_001
alankrita_luthra_001_chunk1,jd_jd_1e5c2f,0.532843,alankrita_luthra_001
alankrita_luthra_001_chunk1,jd_specialist_software_engineering_001,0.524954,alankrita_luthra_001
aman_pardeshi_001_chunk1,jd_jd_1e5c2f,0.553902,aman_pardeshi_001
aman_pardeshi_001_chunk1,jd_specialist_software_engineering_001,0.559810,aman_pardeshi_001
aniruddha_karule_001_chunk1,jd_jd_1e5c2f,0.525320,aniruddha_karule_001
aniruddha_karule_001_chunk1,jd_specialist_software_engineering_001,0.544610,aniruddha_karule_001
resumes_candidate_101c8b9a513b_chunk1_professional_summary,jd_jd_1e5c2f,0.792341,resumes_candidate_101c8b9a513b
resumes_candidate_101c8b9a513b_chunk1_professional_summary,jd_specialist_software_engineering_001,0.534740,resumes_candidate_101c8b9a513b
resumes_candidate_101c8b9a513b_chunk2_skills,jd_jd_1e5c2f,0.596954,resumes_candidate_101c8b9a513b
resumes_candidate_101c8b9a513b_chunk2_skills,jd_specialist_software_engineering_001,0.330910,resumes_candidate_101c8b9a513b
resumes_candidate_101c8b9a513b_chunk3_experience_summary,jd_jd_1e5c2f,0.771080,resumes_candidate_101c8b9a513b
resumes_candidate_101c8b9a513b_chunk3_experience_summary,jd_specialist_software_engineering_001,0.496451,resumes_candidate_101c8b9a513b
resumes_candidate_101c8b9a513b_chunk4_education_summary,jd_jd_1e5c2f,0.686211,resumes_candidate_101c8b9a513b
resumes_candidate_101c8b9a513b_chunk4_education_summary,jd_specialist_software_engineering_001,0.443804,resumes_candidate_101c8b9a513b
resumes_candidate_101c8b9a513b_chunk5_projects_certifications_achievements,jd_jd_1e5c2f,0.801489,resumes_candidate_101c8b9a513b
resumes_candidate_101c8b9a513b_chunk5_projects_certifications_achievements,jd_specialist_software_engineering_001,0.350187,resumes_candidate_101c8b9a513b
resumes_candidate_1e7cfd439794_chunk1_professional_summary,jd_jd_1e5c2f,0.745682,resumes_candidate_1e7cfd439794
resumes_candidate_1e7cfd439794_chunk1_professional_summary,jd_specialist_software_engineering_001,0.495233,resumes_candidate_1e7cfd439794
resumes_candidate_1e7cfd439794_chunk2_skills,jd_jd_1e5c2f,0.604222,resumes_candidate_1e7cfd439794
resumes_candidate_1e7cfd439794_chunk2_skills,jd_specialist_software_engineering_001,0.349276,resumes_candidate_1e7cfd439794
resumes_candidate_1e7cfd439794_chunk3_experience_summary,jd_jd_1e5c2f,0.792647,resumes_candidate_1e7cfd439794
resumes_candidate_1e7cfd439794_chunk3_experience_summary,jd_specialist_software_engineering_001,0.515819,resumes_candidate_1e7cfd439794
resumes_candidate_1e7cfd439794_chunk4_education_summary,jd_jd_1e5c2f,0.696978,resumes_candidate_1e7cfd439794
resumes_candidate_1e7cfd439794_chunk4_education_summary,jd_specialist_software_engineering_001,0.451827,resumes_candidate_1e7cfd439794
resumes_candidate_1e7cfd439794_chunk5_projects_certifications_achievements,jd_jd_1e5c2f,0.782887,resumes_candidate_1e7cfd439794
resumes_candidate_1e7cfd439794_chunk5_projects_certifications_achievements,jd_specialist_software_engineering_001,0.343274,resumes_candidate_1e7cfd439794
resumes_candidate_30de5a1038b7_chunk1_professional_summary,jd_jd_1e5c2f,0.777766,resumes_candidate_30de5a1038b7
resumes_candidate_30de5a1038b7_chunk1_professional_summary,jd_specialist_software_engineering_001,0.511680,resumes_candidate_30de5a1038b7
resumes_candidate_30de5a1038b7_chunk2_skills,jd_jd_1e5c2f,0.589793,resumes_candidate_30de5a1038b7
resumes_candidate_30de5a1038b7_chunk2_skills,jd_specialist_software_engineering_001,0.353798,resumes_candidate_30de5a1038b7
resumes_candidate_30de5a1038b7_chunk3_experience_summary,jd_jd_1e5c2f,0.814811,resumes_candidate_30de5a1038b7
resumes_candidate_30de5a1038b7_chunk3_experience_summary,jd_specialist_software_engineering_001,0.524881,resumes_candidate_30de5a1038b7
resumes_candidate_30de5a1038b7_chunk4_education_summary,jd_jd_1e5c2f,0.725167,resumes_candidate_30de5a1038b7
resumes_candidate_30de5a1038b7_chunk4_education_summary,jd_specialist_software_engineering_001,0.479176,resumes_candidate_30de5a1038b7
resumes_candidate_30de5a1038b7_chunk5_projects_certifications_achievements,jd_jd_1e5c2f,0.783032,resumes_candidate_30de5a1038b7
resumes_candidate_30de5a1038b7_chunk5_projects_certifications_achievements,jd_specialist_software_engineering_001,0.337239,resumes_candidate_30de5a1038b7
resumes_candidate_43be7db47ef7_chunk1_professional_summary,jd_jd_1e5c2f,0.755806,resumes_candidate_43be7db47ef7
resumes_candidate_43be7db47ef7_chunk1_professional_summary,jd_specialist_software_engineering_001,0.554188,resumes_candidate_43be7db47ef7
resumes_candidate_43be7db47ef7_chunk2_skills,jd_jd_1e5c2f,0.616865,resumes_candidate_43be7db47ef7
resumes_candidate_43be7db47ef7_chunk2_skills,jd_specialist_software_engineering_001,0.377262,resumes_candidate_43be7db47ef7
resumes_candidate_43be7db47ef7_chunk3_experience_summary,jd_jd_1e5c2f,0.742359,resumes_candidate_43be7db47ef7
resumes_candidate_43be7db47ef7_chunk3_experience_summary,jd_specialist_software_engineering_001,0.547294,resumes_candidate_43be7db47ef7
resumes_candidate_43be7db47ef7_chunk4_education_summary,jd_jd_1e5c2f,0.691229,resumes_candidate_43be7db47ef7
resumes_candidate_43be7db47ef7_chunk4_education_summary,jd_specialist_software_engineering_001,0.486689,resumes_candidate_43be7db47ef7
resumes_candidate_43be7db47ef7_chunk5_projects_certifications_achievements,jd_jd_1e5c2f,0.793072,resumes_candidate_43be7db47ef7
resumes_candidate_43be7db47ef7_chunk5_projects_certifications_achievements,jd_specialist_software_engineering_001,0.383031,resumes_candidate_43be7db47ef7
resumes_candidate_492624959f95_chunk1_professional_summary,jd_jd_1e5c2f,0.750725,resumes_candidate_492624959f95
resumes_candidate_492624959f95_chunk1_professional_summary,jd_specialist_software_engineering_001,0.557674,resumes_candidate_492624959f95
resumes_candidate_492624959f95_chunk2_skills,jd_jd_1e5c2f,0.639489,resumes_candidate_492624959f95
resumes_candidate_492624959f95_chunk2_skills,jd_specialist_software_engineering_001,0.413373,resumes_candidate_492624959f95
resumes_candidate_492624959f95_chunk3_experience_summary,jd_jd_1e5c2f,0.734033,resumes_candidate_492624959f95
resumes_candidate_492624959f95_chunk3_experience_summary,jd_specialist_software_engineering_001,0.550824,resumes_candidate_492624959f95
resumes_candidate_492624959f95_chunk4_education_summary,jd_jd_1e5c2f,0.685378,resumes_candidate_492624959f95
resumes_candidate_492624959f95_chunk4_education_summary,jd_specialist_software_engineering_001,0.492709,resumes_candidate_492624959f95
resumes_candidate_492624959f95_chunk5_projects_certifications_achievements,jd_jd_1e5c2f,0.771047,resumes_candidate_492624959f95
resumes_candidate_492624959f95_chunk5_projects_certifications_achievements,jd_specialist_software_engineering_001,0.333508,resumes_candidate_492624959f95
resumes_candidate_5219336a0afe_chunk1_professional_summary,jd_jd_1e5c2f,0.792834,resumes_candidate_5219336a0afe
resumes_candidate_5219336a0afe_chunk1_professional_summary,jd_specialist_software_engineering_001,0.520112,resumes_candidate_5219336a0afe
resumes_candidate_5219336a0afe_chunk2_skills,jd_jd_1e5c2f,0.571044,resumes_candidate_5219336a0afe
resumes_candidate_5219336a0afe_chunk2_skills,jd_specialist_software_engineering_001,0.293099,resumes_candidate_5219336a0afe
resumes_candidate_5219336a0afe_chunk3_experience_summary,jd_jd_1e5c2f,0.794434,resumes_candidate_5219336a0afe
resumes_candidate_5219336a0afe_chunk3_experience_summary,jd_specialist_software_engineering_001,0.479665,resumes_candidate_5219336a0afe
resumes_candidate_5219336a0afe_chunk4_education_summary,jd_jd_1e5c2f,0.743352,resumes_candidate_5219336a0afe
resumes_candidate_5219336a0afe_chunk4_education_summary,jd_specialist_software_engineering_001,0.507820,resumes_candidate_5219336a0afe
resumes_candidate_5219336a0afe_chunk5_projects_certifications_achievements,jd_jd_1e5c2f,0.814048,resumes_candidate_5219336a0afe
resumes_candidate_5219336a0afe_chunk5_projects_certifications_achievements,jd_specialist_software_engineering_001,0.358680,resumes_candidate_5219336a0afe
resumes_candidate_564a91d781ad_chunk1_professional_summary,jd_jd_1e5c2f,0.778290,resumes_candidate_564a91d781ad
resumes_candidate_564a91d781ad_chunk1_professional_summary,jd_specialist_software_engineering_001,0.497589,resumes_candidate_564a91d781ad
resumes_candidate_564a91d781ad_chunk2_skills,jd_jd_1e5c2f,0.585318,resumes_candidate_564a91d781ad
resumes_candidate_564a91d781ad_chunk2_skills,jd_specialist_software_engineering_001,0.347951,resumes_candidate_564a91d781ad
resumes_candidate_564a91d781ad_chunk3_experience_summary,jd_jd_1e5c2f,0.807722,resumes_candidate_564a91d781ad
